"Row_ID","Order_ID","Order_Date","Ship_Date","Ship_Mode","Customer_ID","Country/Region","City","State/Province","Postal Code","division","region","Product_ID","Product_Name","sales","units","Gross_Profit","cost","prod_margin"
282,US-2021-128055-CHO-TRI-54000,"3/31/2021","9/26/2026",Standard Class,128055,United States,San Francisco,California,,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33
288,US-2021-128055-CHO-SCR-58000,"3/31/2021","9/26/2026",Standard Class,128055,United States,San Francisco,California,,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44
1132,US-2021-138100-CHO-FUD-51000,"9/15/2021","3/13/2027",Standard Class,138100,United States,New York City,New York,,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67
1133,US-2021-138100-CHO-MIL-31000,"9/15/2021","3/13/2027",Standard Class,138100,United States,New York City,New York,,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
3396,US-2022-121391-CHO-MIL-31000,"10/4/2022","3/29/2028",First Class,121391,United States,San Francisco,California,,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92
4370,US-2023-103982-CHO-SCR-58000,"3/3/2023","8/28/2028",Standard Class,103982,United States,Round Rock,Texas,,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44
4373,US-2023-103982-CHO-NUT-13000,"3/3/2023","8/28/2028",Standard Class,103982,United States,Round Rock,Texas,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
4375,US-2023-103982-CHO-FUD-51000,"3/3/2023","8/28/2028",Standard Class,103982,United States,Round Rock,Texas,,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,66.67
4377,US-2023-103982-CHO-MIL-31000,"3/3/2023","8/28/2028",Standard Class,103982,United States,Round Rock,Texas,,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92
8005,US-2024-147039-CHO-NUT-13000,"6/29/2024","12/25/2029",Standard Class,147039,United States,Minneapolis,Minnesota,,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.35
