"lat","lng","city"
18.18027,-66.75266,Adjuntas
18.36075,-67.17541,Aguada
18.45744,-67.12225,Aguadilla
18.16585,-66.93716,Maricao
18.2911,-67.12243,Anasco
18.27698,-66.80688,Angeles
18.41283,-66.7051,Arecibo
18.41878,-66.6679,Bajadero
18.44598,-66.56006,Barceloneta
17.98892,-67.1566,Boqueron
18.08429,-67.15336,Cabo Rojo
18.05905,-66.71932,Penuelas
18.41905,-66.86037,Camuy
18.1852,-66.83169,Castaner
18.081,-66.94659,Sabana Grande
18.28462,-66.5137,Ciales
18.26742,-66.70212,Utuado
18.43251,-66.28429,Dorado
17.96667,-66.94266,Ensenada
18.34487,-66.58347,Florida
18.45614,-66.60194,Garrochales
17.99413,-66.90266,Guanica
18.04186,-66.79123,Guayanilla
18.41036,-66.79691,Hatillo
18.13412,-67.11399,Hormigueros
18.46622,-67.01508,Isabela
18.21064,-66.59066,Jayuya
18.01246,-67.0417,Lajas
18.27019,-66.86727,Lares
18.23782,-66.98852,Las Marias
18.42229,-66.4891,Manati
18.37897,-67.08098,Moca
18.33535,-67.23155,Rincon
18.42949,-66.93016,Quebradillas
18.16307,-67.36122,Mayaguez
18.22415,-67.15309,Mayaguez
18.10926,-67.03803,San German
18.33656,-66.97518,San Sebastian
18.31707,-66.42029,Morovis
18.3807,-66.62496,Sabana Hoyos
18.49363,-67.09734,San Antonio
18.40905,-66.33768,Vega Alta
18.42633,-66.39811,Vega Baja
18.48327,-66.39269,Vega Baja
18.07274,-66.85519,Yauco
18.24739,-66.13143,Aguas Buenas
17.97442,-66.22888,Aguirre
18.1294,-66.26653,Aibonito
18.01752,-65.92127,Maunabo
17.9981,-66.05635,Arroyo
17.99738,-66.56104,Mercedita
17.99942,-66.59868,Ponce
18.00272,-66.61146,Ponce
18.23145,-65.76067,Naguabo
18.28879,-66.25316,Naranjito
18.21559,-66.42421,Orocovis
18.03139,-66.01122,Patillas
18.22052,-66.03962,Caguas
18.21142,-66.07374,Caguas
18.00697,-66.65995,Ponce
18.33524,-65.88677,Canovanas
18.03256,-66.61384,Ponce
18.09914,-66.63279,Ponce
18.2525,-65.67534,Ceiba
18.10736,-66.14994,Cayey
18.31793,-65.66793,Fajardo
18.17543,-66.16198,Cidra
18.33251,-65.63419,Puerto Real
18.16569,-65.75506,Punta Santiago
18.3466,-65.81382,Rio Grande
18.01205,-66.25871,Salinas
18.1447,-65.97565,San Lorenzo
17.9933,-66.39056,Santa Isabel
18.12365,-65.43013,Vieques
18.13039,-66.4757,Villalba
18.07033,-65.89618,Yabucoa
18.09459,-66.3607,Coamo
18.18797,-65.86916,Las Piedras
18.43048,-65.90377,Loiza
18.34073,-65.72756,Luquillo
18.31387,-65.28618,Culebra
18.22365,-65.90904,Juncos
18.26319,-65.97938,Gurabo
18.09998,-66.57032,Coto Laurel
18.22501,-66.22452,Comerio
18.30348,-66.32851,Corozal
18.00558,-66.13651,Guayama
18.1357,-66.22881,La Plata
18.14391,-65.81398,Humacao
18.19934,-66.31179,Barranquitas
18.05128,-66.49485,Juana Diaz
18.34349,-64.9287,St Thomas
17.7388,-64.70695,Christiansted
18.33857,-64.73802,St John
17.72649,-64.84717,Frederiksted
17.72763,-64.79122,Kingshill
17.74757,-64.78737,Kingshill
18.46478,-66.10277,San Juan
18.46446,-66.09499,San Juan
18.45287,-66.08381,San Juan
18.44131,-66.06866,San Juan
18.45133,-66.05636,San Juan
18.44503,-66.05995,San Juan
18.45024,-66.04275,San Juan
18.43673,-66.04576,San Juan
18.4208,-66.04989,San Juan
18.42139,-66.06774,San Juan
18.41904,-66.09023,San Juan
18.39206,-66.0871,San Juan
18.41146,-66.03715,San Juan
18.39987,-66.01344,San Juan
18.40028,-66.05058,San Juan
18.34691,-66.05434,San Juan
18.38884,-66.07149,San Juan
18.41372,-66.11998,Fort Buchanan
18.43166,-66.21349,Toa Baja
18.46201,-66.23917,Toa Baja
18.43175,-66.25628,Toa Baja
18.42874,-66.18897,Sabana Seca
18.36319,-66.24764,Toa Alta
18.32121,-66.17185,Bayamon
18.36696,-66.18857,Bayamon
18.3852,-66.15583,Bayamon
18.41674,-66.14365,Bayamon
18.40987,-66.16415,Bayamon
18.43514,-66.13949,Catano
18.42853,-66.11175,Guaynabo
18.39784,-66.11394,Guaynabo
18.40609,-66.10123,Guaynabo
18.36696,-66.11,Guaynabo
18.32067,-66.11751,Guaynabo
18.33903,-65.99286,Trujillo Alto
18.43734,-66.0089,Carolina
18.40961,-65.99143,Carolina
18.41788,-65.98104,Carolina
18.40628,-65.94767,Carolina
18.34115,-65.94257,Carolina
42.06262,-72.62521,Agawam
42.37633,-72.46462,Amherst
42.39135,-72.52327,Amherst
42.42117,-72.10655,Barre
42.28163,-72.40009,Belchertown
42.18234,-72.95819,Blandford
42.21133,-72.34189,Bondsville
42.12904,-72.20597,Brimfield
42.30233,-72.96448,Chester
42.38495,-72.84675,Chesterfield
42.16059,-72.60788,Chicopee
42.17618,-72.56538,Chicopee
42.19721,-72.54249,Chicopee
42.46858,-72.92296,Cummington
42.29506,-72.74303,Easthampton
42.05967,-72.49899,East Longmeadow
42.19402,-73.05067,East Otis
42.06869,-72.67967,Feeding Hills
42.32782,-72.19191,Gilbertville
42.45313,-72.81965,Goshen
42.26082,-72.50361,Granby
42.0826,-72.95611,Granville
42.35563,-72.5692,Hadley
42.0638,-72.4157,Hampden
42.37063,-72.19466,Hardwick
42.38466,-72.60559,Hatfield
42.41049,-72.69188,Haydenville
42.21251,-72.64109,Holyoke
42.29092,-72.87526,Huntington
